County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_Birth_Weight_gms
Unidentified Counties,AR,20422,26.3,38.22,3215.35
Douglas County,NE,8342,29.26,38.27,3277.48
Camden County,NJ,6157,29.59,38.5,3254.0
Middlesex County,NJ,8872,30.8,38.5,3238.65
Wood County,OH,1267,28.83,38.4,3316.79
Unidentified Counties,NE,10867,28.16,38.53,3325.66
Pasco County,FL,5084,28.62,38.44,3275.23
Lycoming County,PA,1202,27.79,38.34,3283.35
Harford County,MD,2638,30.15,38.42,3323.43
Livingston County,MI,1704,30.34,38.64,3369.81
Oneida County,NY,2500,28.51,38.7,3321.31
Lancaster County,PA,6975,28.83,38.7,3364.83
Unidentified Counties,ME,3952,28.09,38.69,3340.39
Multnomah County,OR,8211,30.86,38.77,3334.1
Richland County,SC,4693,28.81,38.12,3173.16
Jefferson County,TX,3468,27.02,38.19,3186.6
Montgomery County,TN,3513,27.1,38.32,3274.52
Jackson County,MO,9065,28.11,38.39,3231.8
Clarke County,GA,1351,28.68,38.29,3180.32
Unidentified Counties,KY,33368,26.73,38.2,3258.37
Clark County,OH,1552,26.53,38.28,3264.25
Hamilton County,OH,10835,28.8,38.36,3229.2
Grayson County,TX,1662,26.72,38.27,3239.68
Waukesha County,WI,3918,31.16,38.49,3364.92
Lebanon County,PA,1562,27.94,38.55,3292.37
Davidson County,NC,1751,27.41,38.21,3227.17
Washoe County,NV,5399,28.84,38.46,3237.18
Union County,NC,2456,29.74,38.53,3321.01
Harnett County,NC,1845,28.4,38.36,3274.44
Indian River County,FL,1294,28.79,38.44,3272.38
Fayette County,PA,1326,27.28,38.44,3256.16
Bay County,MI,947,27.83,38.78,3342.42
Caddo Parish,LA,3072,26.99,37.79,3098.81
East Baton Rouge Parish,LA,5780,28.15,38.01,3121.64
Unidentified Counties,MS,25808,26.6,37.92,3128.06
Taylor County,TX,2044,26.95,38.15,3226.55
Unidentified Counties,UT,6460,28.05,38.33,3233.17
Fairfield County,OH,1669,28.73,38.41,3282.31
Leon County,FL,2915,28.73,38.4,3215.33
Macomb County,MI,9171,29.26,38.4,3256.85
Ashtabula County,OH,1108,27.11,38.39,3279.16
Larimer County,CO,3219,30.1,38.54,3209.08
Beaufort County,SC,1912,28.42,38.44,3257.45
Unidentified Counties,NM,9360,26.93,38.43,3177.2
El Paso County,CO,9107,28.47,38.42,3167.07
Westmoreland County,PA,2849,29.2,38.56,3298.6
Hunterdon County,NJ,968,32.36,38.62,3334.07
Richmond County,NY,5186,30.78,38.61,3234.07
Norfolk County,MA,7033,32.39,38.69,3323.12
Henderson County,NC,1093,28.24,38.52,3294.3
Ontario County,NY,966,29.62,38.6,3351.26
Butte County,CA,2430,28.78,38.76,3344.58
Kootenai County,ID,1732,28.46,38.71,3372.6
Calhoun County,MI,1537,27.2,38.69,3292.08
Linn County,OR,1518,28.03,38.77,3390.79
Unidentified Counties,MA,802,30.54,39.02,3402.09
Spokane County,WA,5737,28.63,38.6,3303.0
Ouachita Parish,LA,2063,27.1,37.82,3093.91
Wyandotte County,KS,2614,27.26,38.33,3218.73
Shawnee County,KS,2123,27.65,38.24,3281.15
Tuscaloosa County,AL,2406,27.43,38.23,3193.12
Fayette County,KY,3921,29.16,38.23,3237.39
Baltimore city,MD,7681,28.47,38.23,3137.87
Tarrant County,TX,27280,28.67,38.3,3240.75
Essex County,NJ,10425,30.31,38.37,3206.8
DeKalb County,GA,10785,29.56,38.43,3177.76
Unidentified Counties,GA,41000,26.97,38.17,3197.04
Santa Rosa County,FL,1953,28.6,38.33,3295.36
York County,PA,4707,28.48,38.49,3296.1
Lake County,IL,7095,30.2,38.48,3304.09
Summit County,OH,5934,28.62,38.48,3256.73
Brevard County,FL,5309,28.86,38.39,3270.87
Cabarrus County,NC,2509,29.44,38.39,3243.32
Suffolk County,NY,15278,30.85,38.47,3266.46
Greene County,OH,1720,28.81,38.46,3325.44
Los Angeles County,CA,110271,30.4,38.54,3260.45
Clark County,IN,1396,27.93,38.37,3290.45
Hampton city,VA,1645,27.73,38.37,3204.05
Berks County,PA,4602,28.25,38.45,3278.7
Utah County,UT,11514,28.43,38.45,3306.59
Marion County,FL,3476,27.38,38.43,3236.22
Smith County,TX,2922,27.72,38.43,3292.3
Weld County,CO,4243,28.46,38.59,3230.2
Delaware County,PA,6453,30.41,38.59,3279.35
Parker County,TX,1537,28.62,38.42,3316.58
St. Mary's County,MD,1328,29.27,38.65,3343.41
Essex County,MA,8377,30.39,38.65,3306.77
Hillsborough County,NH,4144,29.85,38.73,3340.67
Unidentified Counties,OR,9558,28.34,38.71,3336.7
Deschutes County,OR,1827,30.01,39.03,3306.9
Middlesex County,MA,16603,32.15,38.69,3302.67
Napa County,CA,1204,30.83,38.67,3346.47
Pueblo County,CO,1829,27.24,38.12,3078.05
