RATING,RunTime,Gross,Votes_Numeric
7.2,118.0,1.52,47166.0
6.9,84.0,0.03,25632.0
7.7,120.0,28.35,32729.0
7.0,124.0,36.45,44546.0
8.1,100.0,1.08,16824.0
5.4,90.0,0.02,31914.0
6.5,113.0,1.33,13939.0
5.3,96.0,0.08,25639.0
6.9,111.0,3.9,15365.0
6.7,85.0,0.08,10813.0
5.7,107.0,0.0,19872.0
5.1,103.0,6.12,19776.0
6.4,101.0,43.04,68503.0
6.4,99.0,0.44,42740.0
6.4,103.0,0.77,12491.0
6.4,109.0,0.01,18275.0
5.7,89.0,16.85,17926.0
5.9,106.0,0.03,12570.0
6.3,100.0,5.66,25758.0
5.6,91.0,0.03,8572.0
7.0,98.0,0.81,13651.0
6.2,106.0,0.01,10622.0
6.1,90.0,0.34,56754.0
7.3,163.0,4.7,10091.0
7.3,80.0,0.01,15777.0
7.6,102.0,11.55,44060.0
5.4,101.0,5.93,34726.0
6.4,86.0,11.37,16055.0
6.8,97.0,0.09,10487.0
6.6,92.0,3.09,30382.0
5.2,102.0,49.77,16506.0
6.1,92.0,19.99,8256.0
7.1,114.0,12.41,42162.0
5.1,158.0,4.83,32707.0
4.7,129.0,0.02,18559.0
7.7,94.0,0.31,22504.0
5.8,120.0,43.55,8263.0
6.5,98.0,2.47,6303.0
5.2,108.0,0.05,16620.0
6.7,106.0,1.11,7296.0
5.9,106.0,0.48,12266.0
6.8,93.0,0.05,26028.0
7.3,136.0,0.26,12303.0
6.7,105.0,6.11,39401.0
5.3,92.0,0.01,866.0
7.2,86.0,0.76,6525.0
7.1,95.0,0.02,4391.0
6.1,94.0,0.06,6983.0
5.4,88.0,0.02,1306.0
5.3,84.0,0.0,14668.0
4.6,80.0,0.03,11394.0
4.2,81.0,0.0,15520.0
7.5,100.0,1.04,37017.0
6.6,88.0,0.5,1944.0
6.7,89.0,0.44,1787.0
6.4,100.0,0.0,15197.0
5.4,105.0,0.1,6774.0
7.5,98.0,0.3,27671.0
7.8,103.0,0.04,8774.0
5.4,86.0,0.16,4823.0
6.9,97.0,0.83,8304.0
7.8,121.0,0.81,15182.0
6.3,98.0,0.59,4265.0
6.5,108.0,16.0,6205.0
7.0,110.0,0.18,4653.0
6.5,121.0,5.31,6317.0
5.1,24.0,0.12,462.0
4.2,97.0,0.15,4638.0
6.4,130.0,0.03,4659.0
7.0,105.0,0.02,1537.0
6.4,97.0,0.08,1713.0
6.0,86.0,0.02,3140.0
5.6,92.0,0.1,8169.0
5.3,96.0,0.01,2442.0
4.5,87.0,11.96,3922.0
4.9,99.0,0.02,2590.0
7.5,98.0,0.2,6037.0
7.2,137.0,0.22,14399.0
7.0,103.0,0.54,12479.0
5.7,94.0,0.27,2131.0
6.8,112.0,0.11,1991.0
7.7,92.0,1.54,11714.0
7.3,120.0,3.03,7004.0
6.7,130.0,0.29,2510.0
5.7,99.0,1.01,9343.0
7.4,104.0,3.25,2456.0
4.8,104.0,0.01,3436.0
7.8,111.0,0.7,3695.0
6.6,89.0,0.01,1321.0
5.7,93.0,0.0,4283.0
7.4,103.0,0.41,6072.0
7.1,94.0,0.17,4536.0
6.7,84.0,0.62,12757.0
5.9,96.0,23.59,9154.0
7.0,100.0,0.01,1912.0
5.1,60.0,0.04,2472.0
6.5,85.0,0.19,4978.0
6.5,82.0,25.58,4038.0
8.6,100.0,0.02,3288.0
6.8,111.0,0.23,7724.0
5.6,101.0,0.02,1462.0
7.0,100.0,0.02,2034.0
4.6,68.0,0.02,2202.0
8.1,73.0,0.13,9193.0
7.4,99.0,0.87,7271.0
5.5,86.0,1.02,2806.0
6.8,87.0,0.08,3310.0
6.6,53.0,0.18,2308.0
7.7,113.0,0.56,6897.0
6.3,110.0,1.12,1450.0
6.2,99.0,0.3,2056.0
6.0,94.0,0.14,2136.0
5.3,88.0,0.04,3615.0
7.1,106.0,0.85,7715.0
6.8,97.0,1.8,1631.0
7.4,100.0,0.59,619.0
7.1,101.0,0.1,1459.0
7.3,99.0,0.04,1439.0
8.1,108.0,0.12,8795.0
7.4,85.0,0.21,3218.0
7.6,90.0,0.16,3416.0
6.4,106.0,0.02,2939.0
6.2,91.0,0.09,5201.0
5.9,73.0,0.05,535.0
7.1,91.0,0.02,713.0
4.8,80.0,0.01,830.0
7.3,92.0,0.1,1649.0
7.3,101.0,2.83,3726.0
6.4,108.0,0.09,744.0
7.0,101.0,0.01,1344.0
8.2,78.0,0.15,3058.0
6.6,79.0,0.1,2461.0
6.8,75.0,32.24,8731.0
7.4,102.0,0.11,2386.0
6.1,101.0,0.02,5421.0
5.4,85.0,0.01,1134.0
7.0,101.0,0.0,612.0
7.3,86.0,0.14,1930.0
7.7,96.0,1.16,696.0
6.3,83.0,0.0,1103.0
5.4,98.0,0.0,1147.0
6.3,75.0,0.0,501.0
6.0,81.0,0.0,945.0
6.4,89.0,0.19,3191.0
7.4,87.0,0.07,1858.0
7.2,90.0,0.15,1808.0
7.6,80.0,0.3,6897.0
6.8,78.0,5.88,1973.0
6.4,89.0,0.01,1834.0
5.2,99.0,0.11,1422.0
6.5,88.0,0.04,2236.0
7.1,81.0,0.24,785.0
