YEAR,MONTH,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1981,12,37.71986883291102,36.7,206.73264042997238,-20.1,86.7,0.054102007810342786,0.0,0.04439046675375929,0.0,6.26
1982,1,30.2450697763334,30.9,381.6474065820756,-31.7,89.7,0.06765109059387978,0.0,0.06609428080549931,0.0,5.75
1982,2,36.90621254081759,37.2,322.6681198848841,-29.9,89.7,0.06012519359834796,0.0,0.06842065721665211,0.0,9.07
1982,3,45.49766203789881,44.6,220.381895501711,-14.8,88.9,0.057107402982773905,0.0,0.051262828798669904,0.0,11.87
1982,4,52.22165260736196,53.0,185.30926963352178,-10.7,89.9,0.06305471304210816,0.0,0.07988649677001432,0.0,19.02
1982,5,63.69318432874291,64.1,103.7394626954104,24.4,96.8,0.06901510324925983,0.0,0.07775569735827122,0.0,11.9
1982,6,68.38019844357977,67.9,100.50519759476734,34.2,102.3,0.08675779700023807,0.0,0.11217527001281226,0.0,10.93
1982,7,75.05904813121806,76.1,73.20132418610571,14.0,106.1,0.07510488695517054,0.0,0.10889496394099761,0.0,12.01
1982,8,73.35368440779611,73.8,80.06170462996054,25.2,105.2,0.06015577507598784,0.0,0.07504198340826736,0.0,9.56
1982,9,66.76731581777676,66.8,109.06717393421141,29.4,104.2,0.05818499195857686,0.0,0.07202354933225792,0.0,13.39
1982,10,57.24696818164981,56.7,132.3080724679833,13.2,89.5,0.0464911817907748,0.0,0.04047917067784173,0.0,5.71
1982,11,46.6464476055366,46.4,201.19690695439473,-6.9,88.7,0.06842299598999484,0.0,0.06919525773845503,0.0,10.08
1982,12,41.309285582425694,40.7,239.00744257406654,-15.1,88.9,0.07528555001916443,0.0,0.09413637635219294,0.0,11.81
1983,1,37.05292899408284,36.4,177.39121151017665,-15.0,78.9,0.050586638112356114,0.0,0.04799967878886918,0.0,8.94
1983,2,40.30101202283124,40.1,175.6794548902688,-12.3,76.1,0.07077310289861152,0.0,0.07809338248651634,0.0,11.1
1983,3,46.015389358383814,45.8,150.4343547441138,-4.8,83.3,0.08688088307564361,0.0,0.074260968609654,0.0,5.59
1983,4,51.01937722684086,50.9,138.16072275358607,2.9,83.5,0.08247544505831798,0.0,0.10149498078827632,0.0,10.93
1983,5,60.95322868993134,60.8,122.94459071224267,17.4,105.0,0.07575451978437053,0.0,0.07890833947320802,0.0,9.02
1983,6,69.82099389581695,70.9,88.06080034536735,22.2,100.6,0.06968919585594475,0.0,0.07579632464949021,0.0,11.1
1983,7,76.08621581266615,77.4,80.76965156548542,25.2,108.4,0.050097462302317035,0.0,0.06047061097226446,0.0,10.04
1983,8,76.49508904283486,77.4,67.61076224361264,24.8,107.4,0.05606923444800059,0.0,0.06533501205580057,0.0,10.93
1983,9,68.40839276330605,69.2,126.51223615397817,9.0,102.9,0.0571010516689529,0.0,0.06531587272838343,0.0,10.83
1983,10,58.30701061897443,58.0,124.20020550420182,7.6,87.1,0.0586445332001997,0.0,0.0655611561180753,0.0,7.85
1983,11,47.74560688891271,47.9,177.8137764370403,-12.0,89.6,0.08496757119427464,0.0,0.07870069973485477,0.0,5.04
1983,12,31.995911818054974,33.1,411.3020951220921,-39.5,90.0,0.07689156270761055,0.0,0.0788866721076007,0.0,8.86
1984,1,33.25833943323225,33.9,292.40854319891923,-28.2,90.0,0.033747609252643355,0.0,0.024757997501952875,0.0,5.12
1984,2,41.50152946468736,41.5,194.3487541742387,-18.6,89.6,0.05290047466522595,0.0,0.04563186169821566,0.0,4.46
1984,3,43.609219341178104,42.5,240.6698303021032,-22.9,88.9,0.06141518878718536,0.0,0.058868909315543866,0.0,6.85
1984,4,53.40166075692887,51.9,138.83736924308923,7.5,89.7,0.06491778330425746,0.0,0.06001968607609538,0.0,6.5
1984,5,62.74642869342442,62.6,136.77441532144232,1.8,109.6,0.0718247816785326,0.0,0.08537399539174041,0.0,14.72
1984,6,71.05434204075915,72.5,102.95007306744208,7.0,108.5,0.05881413462912677,0.0,0.06682046454169213,0.0,10.0
1984,7,74.72910226331769,75.3,68.84589180695185,19.8,108.8,0.07181443010527051,0.0,0.10758352222181554,0.0,12.13
1984,8,74.94955928935408,75.6,61.627804440275355,6.7,108.8,0.05735692639938696,0.0,0.08622917108733426,0.0,12.05
1984,9,66.26664076298128,67.4,142.8243383919088,7.6,109.8,0.048427446892635055,0.0,0.06314742274628127,0.0,9.79
1984,10,58.06130119497498,59.1,158.3663421308829,-3.2,88.0,0.06910888331940963,0.0,0.0786187067014652,0.0,10.0
1984,11,46.17365984930032,45.4,160.75637352238576,-7.6,82.4,0.05937002676836199,0.0,0.059590354861015056,0.0,9.04
1984,12,40.42192275042445,40.4,300.74038740332395,-23.7,79.0,0.050314495238790176,0.0,0.03366442969392309,0.0,5.08
1985,1,31.07174575380844,30.7,271.92475115479965,-31.6,82.7,0.033902201371346086,0.0,0.020792628927991646,0.0,4.5
1985,2,36.2858106305963,36.8,320.89996631148995,-27.7,87.9,0.05200534549170663,0.0,0.04940984581081764,0.0,5.79
1985,3,47.45843178645603,46.9,183.87570988655446,-8.5,89.6,0.049978382147838216,0.0,0.04257291351152197,0.0,5.2
1985,4,57.47748393214624,58.4,159.25230313813358,-0.1,89.9,0.041457072244707904,0.0,0.04356135562365091,0.0,11.61
1985,5,64.61950978128196,65.0,102.53606564777519,14.4,95.8,0.05598470297708876,0.0,0.053623983165066905,0.0,9.8
1985,6,70.02802843861089,70.3,112.2699298130349,13.8,107.1,0.061795648193789174,0.0,0.06986515340805347,0.0,10.71
1985,7,75.10031880286272,76.0,76.07680460898904,14.4,109.6,0.06192778618919097,0.0,0.07600743851627395,0.0,10.56
1985,8,72.75333885034057,72.8,84.10247619933767,12.7,107.7,0.06708970916502216,0.0,0.08273915853239967,0.0,9.04
1985,9,66.03390636790131,66.4,137.5437207273224,12.2,97.8,0.06092173155531729,0.0,0.08129198000217437,0.0,7.83
1985,10,58.16042739935127,57.4,138.55764400876853,7.9,90.0,0.06496616651956458,0.0,0.08836299901871032,0.0,9.45
1985,11,45.74643538472409,47.4,337.04951935453886,-21.6,83.3,0.07710464229973503,0.0,0.07847825543797605,0.0,8.9
1985,12,34.03776557156182,34.3,302.69117303520983,-26.0,81.2,0.03345687260452196,0.0,0.02484842305556811,0.0,3.75
1986,1,38.4524046377607,39.0,245.36455735428797,-30.3,79.1,0.03348485375439084,0.0,0.028546842572822997,0.0,9.45
1986,2,39.66062989191204,39.2,325.0073965990096,-22.0,88.1,0.05745365741096839,0.0,0.053091808263419735,0.0,9.04
1986,3,49.064259642892374,49.8,200.5956370866786,-18.5,88.2,0.041740486169321044,0.0,0.04269915341211619,0.0,9.04
1986,4,55.75883042840854,55.5,142.98328611495307,7.9,88.3,0.03887587038028923,0.0,0.02791588670373851,0.0,9.04
1986,5,63.628913824342796,64.6,125.38950092139895,6.9,99.2,0.052807278849889915,0.0,0.058662157462802234,0.0,12.01
1986,6,71.4753038548014,72.6,100.50503821661798,5.2,106.0,0.06473170731707317,0.0,0.08392899070331368,0.0,12.72
1986,7,74.87133502860776,76.1,99.7492180275536,0.1,105.0,0.056403033236527914,0.0,0.059792937691273654,0.0,9.79
1986,8,72.76548872419608,73.1,84.89123720547529,10.3,105.7,0.06188918988648091,0.0,0.06790241336654455,0.0,8.51
1986,9,66.45021335258977,66.6,124.27763346834735,12.7,104.6,0.0654752711278246,0.0,0.07709625436630128,0.0,11.02
1986,10,57.41765352650131,56.8,129.57418320095374,7.2,89.7,0.05605860175937562,0.0,0.07319277918304291,0.0,10.35
1986,11,46.33404384077461,45.4,231.78812652411605,-14.3,82.3,0.05940411813643927,0.0,0.05925604939129768,0.0,6.94
1986,12,39.141548484748775,37.3,178.7820140417365,-8.8,80.9,0.04831067301155676,0.0,0.05281098067400926,0.0,12.02
1987,1,35.72884583758182,35.3,216.52428071181035,-27.7,79.9,0.05078052285792499,0.0,0.045948947619122285,0.0,5.35
1987,2,40.404588176208925,39.0,180.78656728869115,-27.7,81.0,0.049173860338684205,0.0,0.04473865697300005,0.0,7.22
1987,3,46.335762695532075,46.8,168.38333553304597,-9.3,88.4,0.053678725719750686,0.0,0.048516355720136135,0.0,5.86
1987,4,56.1821234814445,55.9,137.08155866468832,6.2,90.0,0.03346221859484459,0.0,0.03076848194269191,0.0,5.71
1987,5,65.21453127023177,66.3,113.83064604295045,15.8,107.3,0.057224161781173837,0.0,0.05338205765142525,0.0,5.2
1987,6,72.247307185234,73.6,84.47468308108452,17.7,109.8,0.06341441411340172,0.0,0.06519280877511868,0.0,4.61
1987,7,75.20899955479234,76.9,81.05333926303042,18.5,106.7,0.05352216035276321,0.0,0.05337029322752036,0.0,10.0
1987,8,73.87399407435726,74.3,94.90800373910038,21.9,104.5,0.058421460892049124,0.0,0.08454801719997225,0.0,17.09
1987,9,68.00617227535334,67.8,84.4243120127539,16.4,109.5,0.053519712785054185,0.0,0.06091430247698949,0.0,10.75
